Branch,Sex,Pay Grade,Value
Space Force,Male,E1,177
Space Force,Male,E2,159
Space Force,Male,E3,797
Space Force,Male,E4,598
Space Force,Male,E5,901
Space Force,Male,E6,696
Space Force,Male,E7,517
Space Force,Male,E8,100
Space Force,Male,E9,37
Space Force,Male,W1,N/A*
Space Force,Male,W2,N/A*
Space Force,Male,W3,N/A*
Space Force,Male,W4,N/A*
Space Force,Male,W5,N/A*
Space Force,Male,O1,387
Space Force,Male,O2,409
Space Force,Male,O3,"1,032"
Space Force,Male,O4,951
Space Force,Male,O5,620
Space Force,Male,O6,203
Space Force,Male,O7,11
Space Force,Male,O8,9
Space Force,Male,O9,4
Space Force,Male,O10,3
Space Force,Female,E1,30
Space Force,Female,E2,33
Space Force,Female,E3,210
Space Force,Female,E4,134
Space Force,Female,E5,165
Space Force,Female,E6,130
Space Force,Female,E7,110
Space Force,Female,E8,38
Space Force,Female,E9,12
Space Force,Female,W1,N/A*
Space Force,Female,W2,N/A*
Space Force,Female,W3,N/A*
Space Force,Female,W4,N/A*
Space Force,Female,W5,N/A*
Space Force,Female,O1,137
Space Force,Female,O2,160
Space Force,Female,O3,246
Space Force,Female,O4,196
Space Force,Female,O5,124
Space Force,Female,O6,33
Space Force,Female,O7,1
Space Force,Female,O8,0
Space Force,Female,O9,1
Space Force,Female,O10,0
